	id	breed	mixed_breed	dog_size	avg_height	avg_weight	avg_lifespan	Adaptability	All Around Friendliness	Health And Grooming Needs	Trainability	Physical Needs
0	A006100	Spinone Italiano	True	5	63.5	33.08	12.0	3.8	5.0	2.8	3.2	3.33
1	A006100	Spinone Italiano	True	5	63.5	33.08	12.0	3.8	5.0	2.8	3.2	3.33
2	A006100	Spinone Italiano	True	5	63.5	33.08	12.0	3.8	5.0	2.8	3.2	3.33
3	A047759	Dachshund	False	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
4	A134067	Shetland Sheepdog	False	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
5	A141142	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
6	A163459	Miniature Schnauzer	True	3	34.29	6.98	13.0	4.0	3.67	2.4	3.6	4.33
7	A165752	Lhasa Apso	True	3	25.4	6.08	14.0	4.4	3.67	2.2	3.6	3.33
8	A178569	Shetland Sheepdog	True	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
9	A189592	Shetland Sheepdog	True	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
10	A200922	Dachshund	True	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
11	A208755	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
12	A210457	Chihuahua	False	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
13	A212672	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
14	A215368	Newfoundland	True	5	68.58	56.25	9.0	2.8	4.67	3.4	4.0	2.33
15	A218622	Pug	False	3	30.48	7.2	14.0	3.2	4.33	3.4	2.4	3.33
16	A218624	Pug	False	3	30.48	7.2	14.0	3.2	4.33	3.4	2.4	3.33
17	A221327	Staffordshire Bull Terrier	True	4	38.1	13.95	13.0	2.6	3.67	3.6	2.4	3.33
18	A221448	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
19	A226069	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
20	A228887	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
22	A233812	Rottweiler	True	5	62.23	48.38	10.0	2.0	3.67	4.0	4.0	4.0
24	A238870	Rat Terrier	True	3	36.83	7.88	16.0	3.2	4.0	3.4	3.8	4.33
25	A245945	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
26	A245945	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
27	A249087	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
28	A251095	Border Collie	False	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
